0,Samsung,5G enabled smartphone with 128GB storage,4.5,25000,10,3500,Smartphone B12,Smartwatch A2,Wireless Earbuds X1
1,Smartphone A12,5G enabled smartphone with 128GB storage,4.5,25000,10,3500,Smartphone B12,Smartwatch A2,Wireless Earbuds X1
2,Smartphone B12,6.5-inch display with 64GB storage,4.3,20000,15,4200,Smartphone A12,Wireless Earbuds X1,Smartwatch A2
3,Smartwatch A2,Water-resistant smartwatch with heart rate monitor,4.6,5000,5,8000,Smartphone A12,Smartphone B12,Wireless Earbuds X1
4,Wireless Earbuds X1,Bluetooth 5.0 earbuds with noise cancellation,4.7,3000,20,10000,Smartphone A12,Smartphone B12,Smartwatch A2
5,Laptop L14,15.6-inch laptop with 8GB RAM and 512GB SSD,4.4,50000,12,1500,Wireless Mouse M3,Wireless Keyboard K2,Smartphone A12
6,Laptop L15,14-inch laptop with 16GB RAM and 1TB SSD,4.6,70000,8,1200,Wireless Mouse M3,Wireless Keyboard K2,Smartphone B12
7,Wireless Mouse M3,Ergonomic wireless mouse with long battery life,4.5,1000,18,7000,Laptop L14,Laptop L15,Wireless Keyboard K2
8,Wireless Keyboard K2,Compact wireless keyboard with quiet keys,4.3,1500,10,5500,Laptop L14,Laptop L15,Wireless Mouse M3
9,Tablet T8,10-inch Android tablet with 4GB RAM and 64GB storage,4.2,15000,10,3000,Smartphone A12,Wireless Earbuds X1,Smartwatch A2
10,Tablet T9,8-inch tablet with 3GB RAM and 32GB storage,4.0,10000,20,4000,Smartphone B12,Smartwatch A2,Wireless Earbuds X1
11,4K TV P7,55-inch 4K UHD LED Smart TV with HDR,4.8,45000,25,2000,Soundbar S3,Streaming Stick X1,Smartphone A12
12,Soundbar S3,Wireless soundbar with Bluetooth connectivity,4.6,8000,15,3000,4K TV P7,Streaming Stick X1,Smartphone B12
13,Streaming Stick X1,HD streaming stick with 4K support,4.4,2500,12,4500,4K TV P7,Soundbar S3,Smartphone B12
14,Smart Speaker G3,Voice-controlled smart speaker with Alexa,4.7,3000,10,5000,Smartphone A12,Smartwatch A2,Smartphone B12
15,Portable Power Bank X8,10000mAh portable power bank with fast charging,4.5,2500,18,6000,Smartphone A12,Smartphone B12,Tablet T8
